movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
Room,https://www.imdb.com/title/tt3170832/,2015,8.1,86,409421,R,118 min,"Drama, Thriller            ","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Lenny Abrahamson,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson","14,677,674"
28 Days Later...,https://www.imdb.com/title/tt0289043/,2002,7.5,73,404682,R,113 min,"Drama, Horror, Sci-Fi            ","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer","45,064,915"
Collateral,https://www.imdb.com/title/tt0369339/,2004,7.5,71,390205,R,120 min,"Action, Crime, Drama            ",A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","101,005,703"
The Lives of Others,https://www.imdb.com/title/tt0405094/,2006,8.4,89,383318,R,137 min,"Drama, Mystery, Thriller            ","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur","11,286,112"
The Town,https://www.imdb.com/title/tt0840361/,2010,7.5,74,382561,R,125 min,"Crime, Drama, Thriller            ","A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.",Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner","92,186,262"
The Machinist,https://www.imdb.com/title/tt0361862/,2004,7.7,61,382057,R,101 min,"Drama, Thriller            ",An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian","1,082,715"
The Illusionist,https://www.imdb.com/title/tt0443543/,2006,7.6,68,368900,PG-13,110 min,"Drama, Fantasy, Mystery            ","In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Neil Burger,"Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell","39,868,642"
Inside Man,https://www.imdb.com/title/tt0454848/,2006,7.6,76,366339,R,129 min,"Crime, Drama, Mystery            ","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Spike Lee,"Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer","88,513,495"
The Others,https://www.imdb.com/title/tt0230600/,2001,7.6,74,359246,PG-13,104 min,"Horror, Mystery, Thriller            ",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann","96,522,687"
Man on Fire,https://www.imdb.com/title/tt0328107/,2004,7.7,47,356596,R,146 min,"Action, Crime, Drama            ","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell","77,911,774"
Mulholland Drive,https://www.imdb.com/title/tt0166924/,2001,7.9,85,348031,R,147 min,"Drama, Mystery, Thriller            ","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates","7,220,243"
Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,2018,7.7,86,321187,PG-13,147 min,"Action, Adventure, Thriller            ","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg","220,159,104"
Lucky Number Slevin,https://www.imdb.com/title/tt0425210/,2006,7.7,53,310679,R,110 min,"Crime, Drama, Thriller            ","A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu","22,494,487"
Apocalypto,https://www.imdb.com/title/tt0472043/,2006,7.8,68,308010,R,139 min,"Action, Adventure, Drama            ","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",Mel Gibson,"Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood","50,866,635"
Serenity,https://www.imdb.com/title/tt0379786/,2005,7.8,74,293870,PG-13,119 min,"Action, Adventure, Sci-Fi            ",The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,Joss Whedon,"Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk","25,514,517"
Nocturnal Animals,https://www.imdb.com/title/tt4550098/,2016,7.5,67,270411,R,116 min,"Drama, Thriller            ","A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson","10,639,114"
Gone Baby Gone,https://www.imdb.com/title/tt0452623/,2007,7.6,72,269167,R,114 min,"Crime, Drama, Mystery            ","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan","20,300,218"
Road to Perdition,https://www.imdb.com/title/tt0257044/,2002,7.7,72,263616,R,117 min,"Crime, Drama, Thriller            ","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,"Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken","104,454,762"
Changeling,https://www.imdb.com/title/tt0824747/,2008,7.8,63,252647,R,141 min,"Biography, Crime, Drama            ",Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith","35,739,802"
End of Watch,https://www.imdb.com/title/tt1855199/,2012,7.6,68,244002,R,109 min,"Action, Adventure, Crime            ","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.",David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera","41,003,371"
Wind River,https://www.imdb.com/title/tt5362988/,2017,7.7,73,243396,R,107 min,"Crime, Drama, Mystery            ",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene, Kelsey Asbille","33,800,859"
Eastern Promises,https://www.imdb.com/title/tt0765443/,2007,7.6,82,240040,R,100 min,"Crime, Drama, Thriller            ",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,David Cronenberg,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin","17,114,882"
Amores perros,https://www.imdb.com/title/tt0245712/,2000,8.1,83,237269,R,154 min,"Drama, Thriller            ","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero","5,383,834"
21 Grams,https://www.imdb.com/title/tt0315733/,2003,7.7,70,234626,R,124 min,"Crime, Drama, Thriller            ","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Alejandro G. Iñárritu,"Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston","16,290,476"
Hell or High Water,https://www.imdb.com/title/tt2582782/,2016,7.6,88,225353,R,102 min,"Action, Crime, Drama            ",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham","26,862,450"
Kiss Kiss Bang Bang,https://www.imdb.com/title/tt0373469/,2005,7.5,72,225009,R,103 min,"Comedy, Crime, Mystery            ","After being mistaken for an actor, a New York thief is sent to Hollywood to train under a private eye for a potential movie role, but the duo are thrown together with a struggling actress into a murder mystery.",Shane Black,"Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen","4,243,756"
Munich,https://www.imdb.com/title/tt0408306/,2005,7.5,74,224619,R,164 min,"Action, Drama, History            ","After the Black September capture and massacre of Israeli athletes at the 1972 Olympics, five men are chosen to eliminate the people responsible for that fateful day.",Steven Spielberg,"Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds","47,403,685"
The Impossible,https://www.imdb.com/title/tt1649419/,2012,7.5,73,220033,PG-13,114 min,"Adventure, Drama, History            ",The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.,J.A. Bayona,"Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast","19,019,882"
Coraline,https://www.imdb.com/title/tt0327597/,2009,7.7,80,219564,PG,100 min,"Animation, Drama, Family            ","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders","75,286,229"
Match Point,https://www.imdb.com/title/tt0416320/,2005,7.6,72,216021,R,124 min,"Drama, Romance, Thriller            ","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,"Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode","23,089,926"
The Girl with the Dragon Tattoo,https://www.imdb.com/title/tt1132620/,2009,7.8,76,215692,R,152 min,"Crime, Drama, Mystery            ",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Ewa Fröling, Lena Endre","10,095,170"
Train to Busan,https://www.imdb.com/title/tt5700672/,2016,7.6,73,209018,Not Rated,118 min,"Action, Horror, Thriller            ","While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,"Gong Yoo, Yu-mi Jung, Ma Dong-seok, Su-an Kim","2,129,768"
