movie,url,year,imdb,metascore,votes,certificate,runtime,genres,description,director,stars,revenue
Scott Pilgrim vs. the World,https://www.imdb.com/title/tt0446029/,2010,7.5,69,415918,PG-13,112 min,"Action, Comedy, Fantasy            ","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",Edgar Wright,"Michael Cera, Mary Elizabeth Winstead, Kieran Culkin, Anna Kendrick","31,494,270"
In Bruges,https://www.imdb.com/title/tt0780536/,2008,7.9,67,414083,R,107 min,"Comedy, Crime, Drama            ","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington","7,757,130"
Wreck-It Ralph,https://www.imdb.com/title/tt1772341/,2012,7.7,72,411942,PG,101 min,"Animation, Adventure, Comedy            ","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman","189,422,889"
Jojo Rabbit,https://www.imdb.com/title/tt2584384/,2019,7.9,58,368587,PG-13,108 min,"Comedy, Drama, War            ",A young German boy in the Hitler Youth whose hero and imaginary friend is the country's dictator is shocked to discover that his mother is hiding a Jewish girl in their home.,Taika Waititi,"Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi","349,555"
The Lego Movie,https://www.imdb.com/title/tt1490017/,2014,7.7,83,346680,PG,100 min,"Animation, Action, Adventure            ","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",None,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett","257,760,692"
Moonrise Kingdom,https://www.imdb.com/title/tt1748122/,2012,7.8,84,343998,PG-13,94 min,"Comedy, Drama, Romance            ","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray","45,512,466"
About Time,https://www.imdb.com/title/tt2194499/,2013,7.8,55,337662,R,123 min,"Comedy, Drama, Fantasy            ","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson","15,322,921"
How to Train Your Dragon 2,https://www.imdb.com/title/tt1646971/,2014,7.8,77,327848,PG,102 min,"Animation, Action, Adventure            ","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson","177,002,924"
50/50,https://www.imdb.com/title/tt1306980/,2011,7.6,72,327387,R,100 min,"Comedy, Drama, Romance            ","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard","35,014,192"
Moana,https://www.imdb.com/title/tt3521164/,2016,7.6,81,321066,PG,107 min,"Animation, Adventure, Comedy            ","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",None,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison","248,757,044"
